year,institution_type,origination_count,origination_volume_000s
1990,Depository (bank),3237080.0,320122591.0
1990,Independent Mortgage Co (nonbank),514793.0,55421994.0
1991,Depository (bank),3609364.0,304413698.0
1991,Independent Mortgage Co (nonbank),819586.0,101857753.0
1992,Depository (bank),5657853.0,506912602.0
1992,Independent Mortgage Co (nonbank),1569872.0,180462289.0
1993,Depository (bank),6959777.0,619725266.0
1993,Independent Mortgage Co (nonbank),3276840.0,393950296.0
1994,Depository (bank),5108216.0,440502680.0
1994,Independent Mortgage Co (nonbank),1997493.0,202395991.0
1995,Depository (bank),4526464.0,387350641.0
1995,Independent Mortgage Co (nonbank),1646713.0,149812609.0
1996,Depository (bank),5453613.0,485353208.0
1996,Independent Mortgage Co (nonbank),2085360.0,187198441.0
1997,Depository (bank),5699353.0,546561807.0
1997,Independent Mortgage Co (nonbank),2107655.0,209679695.0
1998,Depository (bank),8942849.0,966104192.0
1998,Independent Mortgage Co (nonbank),3348734.0,378660995.0
1999,Depository (bank),7656036.0,826616545.0
1999,Independent Mortgage Co (nonbank),2570976.0,301214554.0
2000,Depository (bank),6245400.0,694041528.0
2000,Independent Mortgage Co (nonbank),1897268.0,228408657.0
2001,Depository (bank),10688150.0,1449199594.0
2001,Independent Mortgage Co (nonbank),3004222.0,407554898.0
2002,Depository (bank),12446202.0,1913169784.0
2002,Independent Mortgage Co (nonbank),3742242.0,550116902.0
2003,Depository (bank),15962150.0,2532996106.0
2003,Independent Mortgage Co (nonbank),5485847.0,878908144.0
2004,Depository (bank),10481875.0,1804781702.0
2004,Independent Mortgage Co (nonbank),4557701.0,767240598.0
2005,Depository (bank),10453112.0,1937095589.0
2005,Independent Mortgage Co (nonbank),5185184.0,955200291.0
2006,Depository (bank),9481172.0,1744903436.0
2006,Independent Mortgage Co (nonbank),4530090.0,874746256.0
2007,Depository (bank),8363172.0,1647098823.0
2007,Independent Mortgage Co (nonbank),2116935.0,431465229.0
2008,Depository (bank),5809725.0,1142435458.0
2008,Independent Mortgage Co (nonbank),1424482.0,286287941.0
2009,Depository (bank),6889431.0,1384389069.0
2009,Independent Mortgage Co (nonbank),2084193.0,441595982.0
2010,Depository (bank),5940970.0,1216420104.0
2010,Independent Mortgage Co (nonbank),1938390.0,429346696.0
2011,Depository (bank),5315892.0,1099537093.0
2011,Independent Mortgage Co (nonbank),1806593.0,396996243.0
2012,Depository (bank),6846127.0,1448287855.0
2012,Independent Mortgage Co (nonbank),2981827.0,698700984.0
2013,Depository (bank),5868490.0,1257370078.0
2013,Independent Mortgage Co (nonbank),2875897.0,654923731.0
2014,Depository (bank),3600132.0,836165219.0
2014,Independent Mortgage Co (nonbank),2464056.0,590115426.0
2015,Depository (bank),4129185.0,1058825701.0
2015,Independent Mortgage Co (nonbank),3275073.0,788579646.0
2016,Depository (bank),4334587.0,1173940430.0
2016,Independent Mortgage Co (nonbank),4043320.0,1007175547.0
2017,Depository (bank),3695517.0,1007856829.0
2017,Independent Mortgage Co (nonbank),3677048.0,925508768.0
2018,Depository (bank),4314785.0,1084444430.0
2018,Independent Mortgage Co (nonbank),3417504.0,909313178.0
2019,Depository (bank),4811495.0,1352677620.0
2019,Independent Mortgage Co (nonbank),4533318.0,1313594487.0
2020,Depository (bank),6099029.0,1819056093.0
2020,Independent Mortgage Co (nonbank),8538305.0,2569420036.0
2021,Depository (bank),6014598.0,1946359678.0
2021,Independent Mortgage Co (nonbank),9076930.0,2842730783.0
2022,Depository (bank),4234158.0,1422740862.0
2022,Independent Mortgage Co (nonbank),4172192.0,1421609065.0
2023,Depository (bank),2922005.0,821107860.0
2023,Independent Mortgage Co (nonbank),2788394.0,955349577.0
